"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"DTM","DENİZ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER DEĞİŞKEN FON","Değişken Şemsiye Fonu","-","-","-","-","-","-","-"
"DUV","DENİZ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","3,2062","10,7742","-","-","-","-","-"
"FPG","FİBA PORTFÖY GÜMÜŞ SERBEST FON","Serbest Şemsiye Fonu","7,7847","-","-","-","-","-","-"
"FS6","FONERİA PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON","Serbest Şemsiye Fonu","3,5854","10,5405","7,1785","9,2611","-","-","-"
"FTF","FONERİA PORTFÖY TEKNOLOJİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-","-","-","-","-","-","-"
"FRC","FONMAP PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","3,5344","14,5645","-","-","-","-","-"
"HIH","GARANTİ  PORTFÖY HOLDİNGLER VE İŞTİRAKLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-","-","-","-","-","-","-"
"GNS","GARANTİ PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,6155","10,4050","-","-","-","-","-"
"GTH","GARANTİ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-0,8316","-3,9163","-","-","-","-","-"
"PIP","GARANTİ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON","Serbest Şemsiye Fonu","3,9819","-","-","-","-","-","-"
"GID","GARANTİ PORTFÖY İNŞAAT SEKTÖRÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","0,0931","7,7949","11,5641","9,6453","-","-","-"
"GKG","GARANTİ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,2334","3,8470","-","-","-","-","-"
"MUT","GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","3,6182","8,8541","16,2971","14,7739","-","-","-"
"SGT","GARANTİ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","4,9304","16,3133","-","-","-","-","-"
"GRT","GARANTİ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-0,6740","3,1524","-","-","-","-","-"
"GPZ","GARANTİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","3,8697","12,7650","-","-","-","6,3395","-"
"YIT","GARANTİ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","11,9574","15,8548","-","-","-","-","-"
"GNH","GLOBAL MD PORTFÖY ALGORİTMİK MODEL HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,2881","-","-","-","-","-","-"
"HAT","HEDEF PORTFÖY ATLAS İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,9990","10,9107","22,5259","21,1714","-","-","-"
"HFI","HEDEF PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-1,1079","6,9200","5,1757","4,4903","-","-","-"
"HML","HEDEF PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,2661","-","-","-","-","-","-"
"HPH","HEDEF PORTFÖY PARA PİYASASI KATILIM FONU","Katılım Şemsiye Fonu","3,7982","12,1498","24,5602","23,3005","-","-","-"
"SOS","HEDEF PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,3693","0,4720","3,8382","3,0042","-","-","-"
"HTJ","HEDEF PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,5327","6,9510","15,5100","13,8035","-","-","-"
"DUH","HEDEF PORTFÖY UFUK HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,4296","-","-","-","-","-","-"
"HNC","HEDEF PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-3,2239","-","-","-","-","-","-"
"HYU","HSBC PORTFÖY KISA VADELİ SERBEST (TL) FON","Serbest Şemsiye Fonu","3,6975","11,9350","-","-","-","-","-"
"IAY","INVEO PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","-","-","-","-","-","-","-"
"NVK","INVEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"IMB","İSTANBUL PORTFÖY ALGORİTMİK MODEL HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,9183","-0,1185","-","-","-","-","-"
"BNH","İSTANBUL PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"BIP","İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"IHP","İSTANBUL PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","0,2792","6,2059","6,2952","4,1335","-","-","-"
"IAM","İŞ PORTFÖY AGRESİF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","5,0238","8,2529","13,8274","12,0010","-","-","-"
"BHL","İŞ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,9954","6,9576","-9,8824","-11,1907","-","-","-"
"KPH","İŞ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-2,4120","4,1367","-0,7274","-3,3109","-","-","-"
"IML","İŞ PORTFÖY MODEL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","3,0646","3,5570","6,0459","4,8337","-","-","-"
"MGB","İŞ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","1,1201","7,2933","-","-","-","-","-"
"UNT","İŞ PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
